Customer Name,Customer Number,Job,Address,Postal Code,Latitude,Longitude
LES AUTOMOBILES JULIEN INC,255278,0,"1, CH DE LA BEAUCE BEAUHARNOIS",J6N 2L8,45.3156648,-73.8716362
ESSO (PETROLIERE IMPERIALE),962860,0,10 132 RTE E GASCONS,G0C 1P0,48.1944564,-64.8590174
MECANIQUE SP,958556,0,10 3E AV VAL-D'OR,J9P 1R2,48.1001074,-77.7695212
KABORE AUGUSTE,186991,0,"10- 5370, MILAN BROSSARD",J4Z 3M5,45.4726162,-73.4421939
MANROCK SHOP,964861,0,10 BLACK MANITOUWADGE,P0T 2C0,49.1258627,-85.8288146
DOG HOUSE CYCLES,983565,0,10 BOYD AVE MONCTON,E1A 4C3,46.108339,-64.7621343
ZONE GARAGE ABITIBI-TEMISCAMIN,947748,0,10 CH DE LA COTE ST-MATHIEU-HARR,J0Y 1M0,48.4558258,-78.1277995
M R ESTHETIQUE AUTO,946756,0,10 CH MARION RR 1 BOWMAN,J0X 3C0,45.8768241,-75.6363557
PRECISION AUTO CLINIC,991887,0,10 HALIFAX ST MONCTON,E1C 9P7,46.0948618,-64.8033523
SF AUTO LTD,993011,0,10 JOFFRE PO BOX 130 STEWIACKE,B0N 2J0,45.1387487,-63.3496725
LACROIX BUS SERVICE GARAGE,924845,0,10 LAFOND RD HEARST,P0L 1N0,49.681505,-83.6047339
TAYLOR FORD & LINCOLN SALES LT,972300,0,10 LEWISVILLE RD MONCTON,E1A 2K2,46.0992188,-64.7744935
PRECISION AUTO BODY,978266,0,10 MAY ST N NEW LISKEARD,P0J 1P0,47.508615,-79.6705248
HI-TECH TRANSMISSIONS,964202,0,10 MOORES MILLS RD MOORES MILLS,E5A 1Y9,45.2920238,-67.2772429
GARAGE REJEAN CHOUINARD,992530,0,10 RTE 132 PABOS MILLS,G0C 2J0,48.304981,-64.7128231
GARAGE MARTIN ROSSIGNOL,937000,0,10 RUE DU PONT SAINT-JACQUES,E7B 1H4,47.4313126,-68.3857783
SERVICE-PRO,69407,0,10 RUE LEGER ST-JEAN-RICHELIEU,J2W 2W3,45.3609711,-73.2999008
CENTRE MECANIQUE SHANNON INC,942004,0,10 ST-PATRICK SHANNON,G0A 4N0,46.9029213,-71.5448262
TRANSPORT GIRARD,442947,0,"10, DE LA FLEUR DE LYS RICHELIEU",J2W 1V5,45.3689289,-73.263425
ATELIER DE CARROSSERIE RICHARD,957593,0,100 3E AV QUEBEC,G1L 2V5,46.8208491,-71.2244897
STATION DE SERVICE D M INC,975965,0,100 3E AV QUEBEC,G1L 2V5,46.8208491,-71.2244897
GARAGE DANIEL RIOUX,992954,0,100 7E AV RR 1 SAINT-FABIEN,G0L 2Z0,48.2897149,-68.8569928
ROYNAT FINANCEMENT,442770,0,100 BLVD ALEXIS-NIHON ST-LAURENT,H4M 2P5,45.4966189,-73.6776246
PNEUXPERT,402000,0,100 BOUL. ROLAND THERRIEN LONGUEUIL,J4H 3V8,45.5479387,-73.4962516
EXCAVATION &CONSTRUCTION GELIN,329050,0,100 CH DU RUISSEAU ST LOUIS E MARIEVILLE,J3M 1P1,45.4386361,-73.168055
LES PNEUS CHRIST,720465,0,100 CHEMIN DU TREMBLAY BOUCHERVILLE,J4B 6Z6,45.5586604,-73.4250875
LYONEL & SONS REPAIR,910299,0,100 DARLINGTON RD RR 4 HUNTER RIVER,C0A 1Y0,46.30478,-63.33085
GARAGE STEEVE CASTONGUAY MECAN,954242,0,100 DE L'EXPENSION SAINTE-FLAVIE,G0J 2L0,48.6080735,-68.2255224
OK TIRE COMMERCIAL,905496,0,100 LAFOREST ROAD TIMMINS,P4P 7C7,48.5236488,-81.3018034
AUTO-TRANS GARAGE LTD,951018,0,100 PICTOU RD TRURO,B2N 2S1,45.3754235,-63.2605125
JOHN'S AUTO BODY & TOWING,922222,0,100 RTE 105 KAZABAZUA,J0X 1X0,45.9130287,-76.0167714
CADORETTE ROGER,911066,0,100 RTE DU PONT SAINT-NICOLAS,G7A 2T2,46.7392805,-71.2886726
CANADIAN TIRE,908934,0,100 RTE DU PRESIDENT-KENNEDY LEVIS,G6V 6C9,46.7896842,-71.1708986
ECOLE PROFESSIONNELLE DE METIE,473797,0,100 RUE LAURIER ST-JEAN-RICHELIEU,J3B 2Y5,45.3023765,-73.2571348
GARAGE DU CAMPEUR,949896,0,100 RUE SOUMANDE QUEBEC,G1L 4W5,46.832448,-71.2470856
ZZ VILLE DE ROUYN-NORANDA COMP,977111,0,100 RUE TASCHEREAU EST ROUYN NORANDA,J9X 5C3,48.2372275,-79.0170528
CARROSSERIES ST-PHILIPPE INC,443774,0,100 SANGUINET ST-PHILIPPE,J0L 2K0,45.3714273,-73.4858252
WILSON CHEVROLET BUICK GMC - B,972031,0,100 WILSON AVE NEW LISKEARD,P0J 1P0,47.5279083,-79.6730865
VILLE DE PORTNEUF GARAGE,966939,0,1000 AV SAINT-GERMAIN PORTNEUF,G0A 2Y0,46.7130459,-71.8860772
PRATT & WHITNEY CANADA,779411,0,1000 BD MARIE-VICTORIN LONGUEUIL,J4G 1A1,45.5532655,-73.4964383
SERVICE DE PNEUS LA TUQUE,939564,0,1000 BOUL DUCHARME LA TUQUE,G9X 3C4,47.4249727,-72.7847075
QUEBEC MITSUBISHI,922226,0,1000 BOUL PIERRE-BERTRAND QUEBEC,G1M 3K2,46.8280749,-71.2746183
9486-6878 QC INC,202908,0,1000 BOUL TASCHEREAU LONGUEUIL,J4K 2X4,45.5145414,-73.5075986
COSTCO ST-BRUNO,140046,0,1000 BOUL. ST-BRUNO ST-BRUNO,J3V 6P4,45.5024055,-73.3820211
GARAGE PATRICK LEBEUF INC,480551,0,1000 QC-133 ST-ARMAND,J0J 1N0,45.0661092,-73.0670059
HYUNDAI ST-JEAN,486816,0,1000 RUE DOUGLAS ST-JEAN-RICHELIEU,J3A 1V1,45.3347954,-73.2867704
AUTO MATIK INC,983788,0,1000 RUE LOUIS-RIEL QUEBEC,G1W 4A1,46.7668242,-71.30471
OSCAR MECANIQUE,157227,0,1000 RUE PRINCIPALE ILE-AUX-NOIX,J0J 1G0,45.1336808,-73.2732868
CARROSSERIE CDJ INC,676442,0,1000 RUE ST-JEAN BAPTISTE STE-MADELEINE,J0H 1S0,45.5779259,-73.0955097
MCANIQUE J. DCARIE INC,,0,"1000, RUE CENTRALE STE-CATHERINE",J5C 1A2,45.4002724,-73.5769017
LES SPECIALISTES DU FREIN VILL,937981,0,1001 BOUL SAINTE-GENEVIEVE CHICOUTIMI,G7G 2G5,48.4506179,-71.0889156
GARAGE FELIX,22360,0,1002 EMILE-NELLIGAN BOUCHERVILLE ,J4B 2L4,45.5864315,-73.4388388
SIMON GOSSELIN,652021,0,1003 RUE DE L'EGLISE CHAMBLY,J3L 3K6,45.443884,-73.2649938
NETTE VAP,388086,0,1003-3  RUE MERRY N MAGOG,J1X 2G9,45.2672582,-72.1558627
ROYAL PIECES D'AUTO,50167,0,1004 RANG STE-BRIGITTE-IBERVILLE,J2Z 3X4,47.002378,-71.1942119
OK TIRE,915181,0,1005 ALGONQUIN BLVD. EAST TIMMINS,P4N 7N5,48.4763023,-81.305054
CARQUEST CHAMBLY,586627,0,1005 BOUL. INDUSTRIEL CHAMBLY,J3L 4C4,45.4412596,-73.2715715
TROOP'S AUTO REPAIR,961749,0,1005 ROUTE 940 MIDGIC,E4L 1X8,45.9908421,-64.2975763
GESTION MILLENIA,692228,1,1006 RUE PAYETTE LONGUEUIL,J4L 1L9,45.5240037,-73.4697511
GESTION ENTREPRISE JF,411234,0,"1007-A, DERSROCHES STE-JULIE",J3E 1W5,45.6026087,-73.3528929
IMPACT PLUS,392296,0,10087 DU PLEIN AIR MIRABEL,J7J 1S5,45.6461951,-73.8689677
VC AUTO REPAIR,989858,0,1009 ROUTE 550 LINDSAY,E7M 5M6,46.22729,-67.67701
VR EXPRESS,419104,0,100-973 ST LUC RICHELIEU,J2W 2G6,45.3763655,-73.3568719
GARAGE ERIC LAVOIE,222929,0,101 DUMAS PETIT-SAGUENAY,G0V 1N0,48.2065513,-70.0634234
J & R AUTOMOTIVE SERVICE,982553,0,101 FRONT HORNEPAYNE,P0M 1Z0,49.2173582,-84.7751416
MIKE WEBB'S AUTO WORKS,921246,0,101 INDUSTRIAL DR WINDSOR,B0N 2T0,44.9945174,-64.1183831
TNT AUTO,988080,0,101 INDUSTRIAL DRIVE WINDSOR,B0N 2T0,44.9945174,-64.1183831
ANDY'S AUTO,997802,0,101 KENNEDY ST SAINT JOHN,E2K 1C6,45.2727391,-66.0861328
DEBOSSELAGE GIRARD,975000,0,101 RUE VALLILEE CHUTE-OUTARDES,G0H 1C0,49.1294458,-68.3932058
AMNAGEMENT PRO UNIQUE INC,,0,"101, MONT-ROYAL GRANBY",J2H 2K2,45.4361164,-72.7323681
MJ AUTO /  9103-3308 QUE. INC.,510115,0,1010 BOUL. TASCHEREAU LONGUEUIL,J4K 2X4,45.5146506,-73.5074844
YOOF MEUBLES,573515,0,"101-1500, DE RIVOLI LONGUEUIL",J4V 1H8,45.4857125,-73.4484422
EXCAVATION R. TETRAULT,180206,0,101-170 PARENT GREENFIELDPARK,J4V 2L2,45.4959716,-73.4859846
GARAGE JACQUES CARRIER INC,975257,0,1012 RUE RENAULT LEVIS,G6Z 2Y8,46.7323847,-71.2111215
REMORQUAGE TRANSPORT LG,232111,0,1015 BOUL. RICHELIEU RICHELIEU,J3L 6T6,45.4382212,-73.228677
SSI AUTO,233333,0,1015 BOUL. RICHELIEU RICHELIEU,J3L 6T6,45.4382212,-73.228677
ATLAS AUTO TECH,76318,0,1015 RUE RIVARD QUEBEC,G1M 3G8,46.8251033,-71.2851328
DIABO AUTO,389009,0,1017 QC-138 Kahnawake,J0L 1B0,45.3744113,-73.7065621
CENTRE DE MECANIQUE LGM ENR,995033,0,1018 RUE RENAULT LEVIS,G6Z 2Y8,46.7318499,-71.2123612
GESTION JP LALONDE INC,411176,0,"101-92, JACQUES-CARTIER SUD RICHELIEU",J3B 6S3,45.2897538,-73.2571281
LES ENTREPRISES GEORGES RINGUE,992272,0,102 138 RTE BAIE-TRINITE,G0H 1A0,49.4134274,-67.3137875
WALKER AUTOMOTIVE,82886,0,102 SOUTH STREET BERWICK,B0P 1E0,45.04148,-64.73545
TOPRING LTEE (EVE),638677,0,1020  BOUL INDUSTRIEL QUEBEC,J2J 1A4,45.3788814,-72.7690475
MONSIEUR MUFFLER,925108,0,1020 BOUL HAMEL SAINT-FELICIEN,G8K 1X9,48.6460053,-72.4509943
ULTRA AUTO REPAIR LTD,984294,0,1020 RUE PRINCIPALE BERESFORD,E8K 2H9,47.6880499,-65.69926
QUEBEC CUSTOM,940750,0,102-1130 BOUL CHAREST O QUEBEC,G1N 2E2,46.8012898,-71.2524484
SERVICE B M GUIMOND INC,944744,0,1022 BOUL SAINTE-ANNE RIMOUSKI,G5M 1M6,48.5117565,-68.4609789
CARROSSERIE COURSOL INC,934444,0,1023 BD DES RUISSEAUX MONT-LAURIER,J9L 0H6,46.5628316,-75.5641937
CARROSSIER PROCOLOR,923203,0,1023 BOUL DES RUISSEAUX MONT-LAURIER,J9L 0H6,46.5628316,-75.5641937
REG AUTO BODY,937770,0,1024 ROUTE 370 LEECH,E1X 1S5,47.4504675,-64.9800132
CARROSSERIE R.SUD,489848,0,1025 BL ST LUC ST-JEAN,J2W 2G6,45.3760901,-73.3622006
HUBERTMILOT INC,472511,0,1025 DES CARRIERES ST-JEAN,J3B 6Y8,45.2675555,-73.2971036
THE SHINE SHOP / HOBBY SHOP,984855,0,1026 RIVERSIDE DR TIMMINS,P4N 3W3,48.4746807,-81.3666324
SERVICE MECANIQUE D.LAMOUREUX,334363,0,102-619 BOUL GUIMOND LONGUEUIL,J4G 1L9,45.5682907,-73.46908
MECANIQUE MOBILE,901800,0,10263 AV ROYALE STE-ANNE-BEAUPR,G0A 3C0,47.0271282,-70.9229406
MTRO-SUD GAZ,,0,"102-820, GUIMOND LONGUEUIL",J4G 1T5,45.5635358,-73.4639723
ATELIER DAVID ARCHAMBAULT,956515,0,1029 BOUL. DE NORMANDIE ST-JEAN-RICHELIEU,J3A 1J8,45.3375186,-73.2743456
PNEUS RATTE,927288,0,103 3E AV QUEBEC,G1L 2V3,46.8205368,-71.2247886
POSE EXTREME,90057,0,103 HERVE LEVESQUE MARIEVILLE,J3M 1N9,45.423156,-73.1647479
NAPA P.A.  BLOUIN ET ROY INC,547595,0,103 RUE LACHAPELLE E ST-REMI,J0L 2L0,45.2598074,-73.6125363
GARAGE JOS PERRON ET FILS INC,964402,0,103 RUE PRINCIPALE N SACRE-COEUR,G0T 1Y0,48.2344601,-69.8027611
ALIE P DEBOSSELAGE & PEINTURE,932412,0,103 ST JOSEPH GRACEFIELD,J0X 1W0,46.0937436,-76.0529957
9490-2673 QUEBEC INC,651969,0,1030 AV. VICTORIA LEMOYNE,J4R 1P3,45.4953719,-73.5001819
9490-2673 QUEBEC INC,651969,0,1030 RUE VICTORIA LEMOYNE,J4R 1P3,45.4954373,-73.500241
CORMIER ARMAND GARAGE LTD,962961,0,10300 ROUTE 134 ST-LOUIS-KENT,E4X 2K9,38.6270025,-90.1994042
MIKE HASSELMAN AUTOBODY,941546,0,1031 COVERDALE RD RIVERVIEW,E1B 5G2,46.0478201,-64.8502392
REALISATION VI-BE INC,763582,0,1031 ROUTE 219 NORD HEMMINGFORD ,J0L1H0,45.1097609,-73.5729587
AUTO CENTRE MECHATRONIK,943527,0,103-2522 BOUL TALBOT STONEHAM-TEWKES,G3C 1H4,46.948001,-71.360449
STILES AUTO & MACHINE,939269,0,1033 SHEDIAC RD MONCTON,E1A 7B6,46.1171555,-64.7241352
ATELIER PG,932454,0,1034   RT  104 STE BRIGIDE ,J0J1X0,45.269616,-72.9476364
HUGHES TRUCKING,921984,0,1034 BRACKLEY POINT RD HARRINGTON,C1E 1P9,46.33566,-63.16029
GARAGE LUCIEN VOYER,977102,0,1035 RANG DU NORD SAINT-RAYMOND,G3L 3C6,46.9276633,-71.8193143
EXCAVATION KEVIN RATH,,0,"1035, BERGERON ST-BLAISE",J0J 1W0,45.2161953,-73.30786
MCKANE MOTOR SALES LTD,971441,0,1036 RIVERSIDE DR TIMMINS,P4N 3W3,48.4746427,-81.3670267
PULVIABRE ENR,538448,0,1037 ALBANEL ST-BRUNO,J3V 4J9,45.5397861,-73.3391139
KD AUTOMOBILE,429191,0,1038 BOUL. D'IBERVILLE ST-JEAN-RICHELIEU,J2X 4B2,45.296491,-73.2295238
ACCURATE STEERING & TIRE LTD,974564,0,1038 PLEASANT DR MINTO,E4B 3W1,46.0940573,-66.0501318
SERVICE AERIEN LUX INC,294444,0,103-810 ROUTE JEAN-GAUVIN QUEBEC,J3Y 8Y9,46.7637288,-71.3701593
XP4 MANAGMENT INC,294446,0,103810 ROUTE JEAN-GAUVIN ST-HUBERT,G1X 0B6,46.7612611,-71.3658581
CANTIN BERNARD,944596,0,104 AV DU MOULIN ST-THOMAS-DIDY,G0W 1P0,48.9121548,-72.6585399
NEOLECT INC,595457,0,104 BD MONTCALM N CANDIAC,J5R 3L8,45.3954557,-73.5198425
GARAGE PIERRE LAVOIE INC,964880,0,104 BOUL COMEAU BAIE-COMEAU,G4Z 3A8,49.2258546,-68.1914461
DARCHE AUTO,85151,0,104 CHEMIN ST-CSAIRE MARIEVILLE,J3M 1N9,45.43071708,-73.11926079
BL PERFORMANCE,624770,0,104 D MONTE CALIXA-LAVALLE VERCHERES,J0L 2R0,45.77465265,-73.35257533
MACIVER'S AUTO SERVICE,942287,0,104 FIRST ST N GERALDTON,P0T 1M0,-28.7761346,114.611295
EQUIPEMENTS PIERRE BONNEAU INC,469998,0,104 RUE INDUSTRIELLE ST-ALEXANDRE,J0J 1S0,45.2281697,-73.1276877
GARAGE SAINT-AIME-DES-LACS INC,993371,0,104 RUE PRINCIPALE ST-AIME-LACS,G0T 1S0,47.6827508,-70.3066947
GARAGE DEL-RAY INC,917322,0,1040 RUE FERNAND-DUFOUR QUEBEC,G1M 2Y3,46.826061,-71.2839124
UNI-PRO DISTRIBUTION 117 NORD,955839,0,1040 RUE ROYALE MALARTIC,J0Y 1Z0,48.1392736,-78.126679
DEBOSSELAGE SANS PEINTURE BYE,912714,0,1040A BOUL PIERRE-BERTRAND QUEBEC,G1M 3H1,46.829113,-71.2754382
PIERRE PICARD,726713,0,1041 RUE LALIBERTE ST-JEAN,J3A 1G8,45.3381945,-73.2732825
EXCELLENCE PETERBILT,495433,0,1041 RUE NOBEL ST-JULIE,J3E 1Z4,45.5828627,-73.3051114
AUTOS DU MONDE,978400,0,104-3596 RUE DE L'HETRIERE ST-AUGUSTIN,G3A 2L4,46.7563961,-71.3781154
ENTRETIEN MECANIQUE 1964,493359,0,1046 JEAN LESAGE STE-JULIE,J3E 3B2,45.5913068,-73.3536273
RICHARD'S SERVICE STATION,907356,0,10495 RUE PRINCIPALE ST-LOUIS-KENT,E4X 1E6,46.7354504,-64.9691844
GARAGE MCCONNERY (1983) INC.,991632,0,105 BOUL DESJARDINS MANIWAKI,J9E 2C8,46.3814008,-75.9832566
STATION SERVICE SYLVAIN CHARRO,492361,0,105 BOUL. DES HAUTS BOIS STE-JULIE,J3E 3J8,45.5721293,-73.3276401
OK TIRE,915181,0,105 KING STREET LONGLAC,P0T 2A0,49.7804443,-86.5325443
GARAGE MGO DUPONT INC,483644,0,105 QC-202 STANBRIDGE STAT,J0J 2J0,45.12289751,-73.03743209
SR MECANIC INC,917575,0,105 RUE DE L'ARTIMON ST-AUGUSTIN,G3A 2L4,46.7560032,-71.3785927
ANSELL CANADA INC,661850,0,105 RUE LAUDER COWANSVILLE,J2K 2K8,45.201421,-72.7395062
LES SILENCIEUX LORTIE INC,979093,0,105 RUE MARIE-DE-L'INCARNATION QUEBEC,G1N 3E9,46.8102565,-71.2473487
CARROSSERIE STEVE LEVESQUE,991569,0,1050 RUE GAUDAR QUEBEC,G3J 0B7,46.8531044,-71.4498325
DEAN ST-PIERRE,729118,0,1051 - 1E RANG ACTON VALE,J0H 1A0,45.6178259,-72.6106862
DEAN ST-PIERRE,729118,1,"1051 1E RANG, ACTON VALE ACTON VALE",J0H 1A0,45.6178259,-72.6106862
NORMAND GAGNON,469734,0,1054 Chem. des Patriotes O ST-JEAN,J2Y 1H4,45.282433,-73.360422
AUTO KEV,772285,0,1055 CURE POIRIER OUEST LONGUEUIL,J4K 2E3,45.5170129,-73.4900477
LECLAIR TIRE AND AUTOMOTIVE IN,933160,0,1055 HUNTLEY ALBERTON,C0B 1B0,46.8131294,-64.0648274
GESTIONS SYLVAIN BRUB  INC .,,0,1055 MONTARVILLE BOUCHERVILLE,J4B 6R2,45.5890814,-73.4333748
GARAGE MARC MACASKILL,852271,0,1055 ST PASCAL ST-ROCH-RICHELIEU,J0L 2M0,45.8889438,-73.160302
TOUGAS ALIGNEMENT,473081,0,1056 BOUL. IBERVILLE ST-JEAN-RICHELIEU,J2X 4B3,45.2959394,-73.229641
ACTION AUTOMOTIVE SERVICE,925616,0,1059 OIL TANK RD IROQUOIS FALLS,P0K 1E0,48.7540402,-80.698344
GUNTHER'S HARRY AUTO REPAIRS,994952,0,106 KILLARNEY CR FREDERICTON,E3A 8S9,45.9981305,-66.6288049
FRANK LODER'S AUTOBODY LTD,933060,0,106 MAIN DR SUMMERSIDE,C1N 4L3,46.4291565,-63.8514065
MECANIQUE DAVE BILODEAU,986862,0,106 ROUTE VICTOR-DELAMARRE LAC-BOUCHETTE,G0W 1V0,48.271432,-72.1727362
GARAGE LANDRY AUTO COLLISION &,974256,0,106 RUE DU PORTAGE CARAQUET,E1W 1A8,47.7801186,-64.9319279
PLATINIUM AUTO SERVICE,977223,0,106 RUE DU PORTAGE CARAQUET,E1W 1A8,47.7801186,-64.9319279
GARAGE ANDRE FRENETTE,950717,0,106 RUE NOTRE-DAME DONNACONA,G3M 1G1,46.6738325,-71.7423626
PF EXPERT,472001,0,"106, CONRAD-GOSSELIN RICHELIEU",J2X 5L6,45.324952,-73.2492635
FERME BERNA INC.,424255,0,"106, VAN VLIET LACOLLE ",JK0 1J0,45.0793881,-73.3613809
CARROSSIER PROCOLOR CABANO,943631,0,1060 CH DU GOLF TEMISCOUATA-LAC,G0L 1E0,47.6825366,-68.9143077
SERVICES FREDERIC DUMONT,707419,0,1060 CHEMIN DE TOURAINE SAINTE-JULIE,J3E 1Y2,45.6244606,-73.3445541
BATHURST TOYOTA,988988,0,1060 ST. ANNE ST BATHURST,E2A 6X2,47.6265716,-65.6947784
MIKE'S AUTO REPAIR,931861,0,1061 WOODSTOCK RD FREDERICTON,E3B 7R7,45.9658395,-66.6905187
MARQUIS AUTOMOBILES INC,923333,0,1065 AV DU PHARE O MATANE,G4W 3M6,48.8464231,-67.5552929
TRANSPORT O-CLAIRE,479328,0,1065 CH DU CLOCHER ST JEAN,J2Y 1A4,45.3168948,-73.3345347
LES EXC.BISAILLON,463215,0,1065 DES CARRIERES ST JEAN,J3B 6Y8,45.2675555,-73.2971036
MAJI AUTOS INC,450974,0,"1065, BOUL EDOUARD VII ST-PHILIPPE",J0L 2K0,45.3872255,-73.4688755
SERVICE AUTO PREMIUM,981616,0,106-95 RUE DE LISBONNE ST-AUGUSTIN,G3A 0M9,46.7527124,-71.4589617
FORD ST-BASILE,836699,0,107 BOUL SIR WILFRID LAURIER ST-BASILE-GRAND,J3N 1M2,45.5351971,-73.2700523
EQUIPEMENT BROSSARD,783385,0,107 ave LALIBERT CANDIAC,J5R 3X8,45.39074057,-73.54121257
GAR C&J LAMARRE,475740,0,1070  RT 133 SABREVOIS ,JOJ 2G0,45.2107361,-73.2298347
LA TUQUE CHEVROLET BUICK GMC,937695,0,1070 BOUL DUCHARME LA TUQUE,G9X 3C4,47.420817,-72.7844322
GARAGE LEONCE,971317,0,1070 CH DU GOLF LA MALBAIE,G5A 1H2,47.6390371,-70.1497017
FMSI AUTOMOTIVE HARDWARE,517445,0,1070 HERITAGE ROAD BURLINGTON,L7L 4X9,43.3744494,-79.7836598
GARAGE SIMEON FERLAND INC,974143,0,10711 BOUL STE ANNE,G0A 3C0,47.0321372,-70.9060272
ULTRAMAR,932025,0,1072 PRINCE ST TRURO,B2N 1J1,45.3641119,-63.2678074
F & J MACKENZIE AUTO SERVICE,932225,0,1072 PRINCE ST TRURO,B2N 1J1,45.3641119,-63.2678074
FLORABEC,482648,0,1075 QC 133 SAINT-ARMAND,J0J 1T0,45.069912,-73.065588
GARAGE CARL PRUNEAU,965606,0,1079 RUE HEBERT DESBIENS,G0W 1N0,48.4177031,-71.9472511
EXPROLINK INC,510444,0,"1079, MARIE-VICTORIN ST-BRUNO",J3V 0M7,45.5305987,-73.3655754
ATELIER DE MECANIQUE CLERMONT,936250,0,107A-2323 BOUL DU VERSANT-NORD QUEBEC,G1N 4P4,46.7911686,-71.2862822
JORDANS 24/7 ROADSIDE SERVICE,948960,0,108 1ST ST N GERALDTON,P0T 1M0,-28.7761346,114.611295
RADIATEUR GAETAN MARTIN,932922,0,108 AV MARTIN DEGELIS,G5T 1J3,47.5496735,-68.6404707
GARAGE BRUNO HOULE INC.,465194,0,108 BEAUVAIS ST-JEAN-RICHELIEU,J2X 2R4,45.2943046,-73.2287923
BERUBE AUTO SALVAGE,968220,0,108 CH ST-JOSEPH SAINT-JACQUES,E7B 2G3,47.4338997,-68.3851305
HEBERT'S BODY SHOP,968538,0,108 ROUTE 395 MCLAUGHLIN,E7G 3S6,46.8747106,-67.4498559
GARAGE 108 ST-O INC,931921,0,108 RUE SAINT-OLIVIER QUEBEC,G1R 1G1,46.8082169,-71.2273306
COLLEGE OF AUTOMOTIVE TECHNICI,949102,0,1080 BROOKSIDE DR FREDERICTON,E3G 8T8,46.0076503,-66.6361281
MARTOM AUTO BODY,976833,0,1080 NORTHSIDE DR MINTO,E4B 3H7,46.0823156,-66.0805866
RACINE CHEVROLETBUICK GMC INC.,595900,0,1080 RUE DOUGLAS RICHELIEU,J3A 0A2,45.336934,-73.2869526
AUTO HIGHLANDER,650886,0,1080 VICTORIA LEMOYNE,J4R 1P7,45.4943178,-73.4988084
GARAGE METIJA,701200,0,1081 BOUL. ST-LAURENT OUEST LONGUEUIL,J4K 1E1,45.5240867,-73.5138687
GARAGE ATELIER MECANIQUE SOUDU,983711,0,1082 AV DU PORT LA BAIE,G7B 1W1,48.3324685,-70.8801433
MARTIN DIESEL INC,922718,0,1084 CH DE L'EGLISE LAC BAKER,E7A 1L7,47.3665843,-68.6882117
GARAGE MAGELLA BEAULIEU INC,924376,0,1085 AV LAPIERRE QUEBEC,G3E 1H8,46.8634755,-71.3305546
AU CARROSSIER,927400,0,1085 AV LARIVIERE ROUYN-NORANDA,J9X 4K9,48.2244561,-78.9954197
FISSURES & DRAIN RIVE-SUD INC.,963645,0,1085 RUE CHAMONIX ST-HUBERT,J3Y 6B5,45.5077358,-73.4177197
LAPRAIRIE PNEUS   MECANIQUE,595441,0,1085 TASCHEREAU LAPRAIRIE,J5R 1W9,45.4046448,-73.4979427
GARAGE CLOUTIER AVANTAGE INC,954234,0,1086 3E AV VAL-D'OR,J9P 1T6,48.1047126,-77.7943339
GARAGE R TESSIER,937264,0,1086 BOUL DUCHARME LA TUQUE,G9X 3C4,47.4198957,-72.7846172
GARAGE RENAUD BLAIS,992282,0,108-732 AVENUE TANIATA LEVIS,G6Z 2C5,46.7338017,-71.2106786
CARROSSIER OPTIMA INC,992806,0,1089 AV DU LAC-SAINT-CHARLES QUEBEC,G3G 2S2,46.89361,-71.359806
LE SPECIALISTE DE LA RETOUCHE,926650,0,109 AV BERNATCHEZ QUEBEC,G1M 2A2,46.8111573,-71.259684
